============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ne(100 MeV) ==> Carbon Tetrafluoride (IC(  400 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   73 10 .3057728E+08   4000000E+03  .1903E+08  .3890E+08   .9999069  .0097989  .0094918
T   74 10 .3054595E+08   4000000E+03  .1583E+08 -.2913E+08   .9998386  .0008539 -.0179435
T   75 10 .3079087E+08   4000000E+03 -.1368E+08  .9581E+07   .9999193 -.0121256 -.0038026
T   76 10 .3091866E+08   4000000E+03 -.1757E+08  .1882E+08   .9998175 -.0080886  .0173049
T   77 10 .3042271E+08   4000000E+03  .2126E+08  .1204E+08   .9999467  .0100500 -.0023763
T   78 10 .3079824E+08   4000000E+03 -.1465E+08  .1344E+08   .9997615 -.0209879  .0060452
T   79 10 .3069304E+08   4000000E+03  .2105E+08  .1377E+08   .9997782  .0209754  .0019017
T   80 10 .2999552E+08   4000000E+03 -.1801E+08  .1892E+08   .9999141 -.0126832 -.0033131
T   81 10 .3110860E+08   4000000E+03 -.5933E+08  .1119E+08   .9993021 -.0369797  .0052805
T   82 10 .3082573E+08   4000000E+03 -.3110E+08 -.3796E+08   .9988459 -.0280295 -.0390018
T   83 10 .3074117E+08   4000000E+03  .1128E+08  .3010E+08   .9998808 -.0039394  .0149265
T   84 10 .3078518E+08   4000000E+03  .6705E+07 -.2322E+08   .9993778  .0074576 -.0344734
T   85 10 .3049601E+08   4000000E+03 -.1128E+08  .2970E+08   .9997884  .0050987  .0199276
T   86 10 .3067185E+08   4000000E+03  .1587E+07  .3390E+08   .9997852  .0001578  .0207274
T   87 10 .3056615E+08   4000000E+03  .3944E+08  .6131E+08   .9998013  .0107774  .0167699
T   88 10 .3063481E+08   4000000E+03  .1194E+07  .1603E+08   .9998808  .0055920  .0143899
T   89 10 .3083622E+08   4000000E+03 -.6755E+07  .4313E+07   .9999895 -.0000054 -.0045916
T   90 10 .3074167E+08   4000000E+03  .8291E+07 -.6016E+06   .9999248 -.0105628  .0062287
T   91 10 .3067899E+08   4000000E+03  .1666E+08 -.3119E+08   .9984698  .0512046 -.0208853
T   92 10 .3049443E+08   4000000E+03 -.2017E+08  .4035E+08   .9996019 -.0045365  .0278464
T   93 10 .3063528E+08   4000000E+03 -.2065E+07 -.1244E+08   .9998165 -.0081337 -.0173430
T   94 10 .3068852E+08   4000000E+03 -.3048E+06  .2093E+07   .9998230  .0125808 -.0139877
T   95 10 .3038548E+08   4000000E+03  .9174E+07  .3741E+08   .9999385  .0051595  .0098189
T   96 10 .3054713E+08   4000000E+03 -.7471E+07 -.2324E+07   .9998143 -.0165962 -.0097977
T   97 10 .3123769E+08   4000000E+03 -.3000E+08  .7203E+07   .9999747 -.0065894  .0026717
T   98 10 .3049235E+08   4000000E+03  .2748E+07 -.5584E+07   .9999361  .0076397  .0083289
